Customer_ID,Customer_Name,Gender,Age,Product,Quantity,Unit_Price,Purchase_Value
C001,Aarav,Male,27,Laptop,1,58645,58645
C002,Priya,Male,53,Watch,3,4326,12978
C003,Rohan,Male,28,Laptop,3,52365,157095
C004,Sneha,Male,54,Tablet,1,17978,17978
C005,Vivek,Male,30,Laptop,2,62763,125526
C006,Ananya,Male,55,Headphones,3,2343,7029
C007,Rahul,Male,52,Laptop,2,62036,124072
C008,Neha,Male,53,Laptop,1,50587,50587
C009,Karan,Male,30,Laptop,3,51678,155034
C010,Pooja,Male,38,Headphones,1,2579,2579
C011,Amit,Male,18,Backpack,2,1964,3928
C012,Riya,Male,53,Watch,1,4847,4847
C013,Aditya,Male,30,Tablet,2,18824,37648
C014,Isha,Male,44,Headphones,1,2517,2517
C015,Nikhil,Male,43,Backpack,3,1646,4938
C016,Simran,Male,25,Mobile,1,27691,27691
C017,Arjun,Male,48,Laptop,2,58281,116562
C018,Kavya,Male,18,Mobile,1,24090,24090
C019,Sahil,Male,23,Shoes,3,3269,9807
C020,Meera,Male,50,Watch,3,4452,13356
C001,Aarav,Male,34,Shoes,2,3970,7940
C002,Priya,Male,45,Mobile,3,24757,74271
C003,Rohan,Male,20,Tablet,3,17403,52209
C004,Sneha,Male,35,Tablet,4,16207,64828
C005,Vivek,Male,33,Mobile,2,28358,56716
C006,Ananya,Male,29,Backpack,3,1552,4656
C007,Rahul,Male,55,Watch,3,4294,12882
C008,Neha,Male,27,Backpack,4,1992,7968
C009,Karan,Male,21,Tablet,3,16492,49476
C010,Pooja,Male,42,Mobile,2,25083,50166
C011,Amit,Male,34,Shoes,2,3546,7092
C012,Riya,Male,53,Headphones,2,2305,4610
C013,Aditya,Male,34,Headphones,2,2631,5262
C014,Isha,Male,48,Tablet,2,18221,36442
C015,Nikhil,Male,54,Tablet,3,18049,54147
C016,Simran,Male,18,Shoes,2,3793,7586
C017,Arjun,Male,42,Backpack,4,1539,6156
C018,Kavya,Male,28,Backpack,4,1611,6444
C019,Sahil,Male,48,Backpack,1,2004,2004
C020,Meera,Male,52,Headphones,3,2757,8271
C001,Aarav,Male,33,Mobile,3,25854,77562
C002,Priya,Male,21,Headphones,1,2629,2629
C003,Rohan,Male,19,Backpack,3,1716,5148
C004,Sneha,Male,54,Shoes,3,3785,11355
C005,Vivek,Male,37,Shoes,3,3421,10263
C006,Ananya,Male,18,Headphones,2,2678,5356
C007,Rahul,Male,19,Headphones,2,2714,5428
C008,Neha,Male,31,Headphones,4,2502,10008
C009,Karan,Male,29,Shoes,1,3013,3013
C010,Pooja,Male,36,Backpack,4,1806,7224
C011,Amit,Male,34,Backpack,4,1901,7604
C012,Riya,Male,51,Backpack,2,1911,3822
C013,Aditya,Male,49,Watch,3,4750,14250
C014,Isha,Male,19,Backpack,3,1759,5277
C015,Nikhil,Male,28,Mobile,4,21720,86880
C016,Simran,Male,53,Shoes,1,3468,3468
C017,Arjun,Male,27,Mobile,1,25800,25800
C018,Kavya,Male,21,Mobile,3,26295,78885
C019,Sahil,Male,55,Headphones,3,2390,7170
C020,Meera,Male,29,Backpack,3,2014,6042
