Order_ID,Customer_ID,Customer_Name,Gender,Age,Customer_Segment,Country,State,City,Category,Sub_Category,Product,Unit_Price,Quantity,Discount_Percent,Discount_Amount,Shipping_Cost,Sales,Cost,Profit,Payment_Method,Order_Status,Order_Date,Delivery_Date,Customer_Rating
ORD-1000000,CUST-33333,Vivaan Wilson,Male,29.0,Premium,India,Telangana,Hyderabad,Electronics,Mobile,Tablet,15276.17,1,25.0,3819.04,230.54,11687.67,13819.0,-2131.33,Net Banking,Delivered,2025-02-08,2025-02-14,4.7
ORD-1000001,CUST-12612,Vivaan Kumar,Male,24.0,Premium,India,Maharashtra,Pune,Grocery,Beverages,Breakfast Cereal,,2,15.0,771.57,13.33,4385.54,4749.74,-364.2,Debit Card,Cancelled,2024-10-08,2024-10-11,4.8
ORD-1000002,CUST-21534,Priya Anderson,Male,57.0,New,India,Gujarat,Ahmedabad,Beauty,Haircare,Sunscreen,3061.86,1,25.0,765.47,0.0,2296.39,2158.62,137.77,Net Banking,Delivered,2025-03-26,2025-03-28,3.6
ORD-1000003,CUST-23986,Aditya Sharma,Female,59.0,Regular,India,Maharashtra,Pune,Fashion,Footwear,Dress,1436.09,1,10.0,143.61,194.0,1486.48,1328.69,157.79,UPI,Cancelled,2025-12-22,2025-12-28,4.7
ORD-1000004,CUST-33769,Olivia Das,Male,32.0,Regular,Canada,Alberta,Calgary,Fashion,Accessories,Handbag,5678.85,1,15.0,851.83,272.88,5099.9,4293.45,806.45,Credit Card,Delivered,2025-10-25,2025-10-31,4.1
ORD-1000005,CUST-12693,Neha Wilson,Male,28.0,Regular,India,Telangana,Hyderabad,Home & Kitchen,Furniture,Storage Box,4930.14,3,5.0,739.52,112.06,14162.96,11819.11,2343.85,Cash on Delivery,Delivered,2026-06-20,2026-06-26,4.9
ORD-1000006,CUST-10663,Liam Johnson,Male,49.0,Premium,Canada,Ontario,Toronto,Fashion,Men,Handbag,7415.7,1,10.0,741.57,150.92,6825.05,5017.01,1808.04,Cash on Delivery,Delivered,2024-11-14,2024-11-20,4.0
ORD-1000007,CUST-31919,Arjun Das,Female,34.0,VIP,India,Maharashtra,Mumbai,Grocery,Food,Coffee,3283.16,1,10.0,328.32,2.85,2957.69,2933.47,24.22,Net Banking,Delivered,2026-02-27,2026-02-28,5.0
ORD-1000008,CUST-29360,Priya Das,Female,18.0,Premium,United States,Illinois,Chicago,Books,Fiction,Novel,997.42,1,15.0,149.61,141.45,989.26,957.94,31.32,upi,Delivered,2024-05-03,2024-05-10,4.7
ORD-1000009,CUST-11154,,Male,50.0,Premium,United Kingdom,England,London,Home & Kitchen,Kitchen,Mixer,21499.33,2,25.0,10749.67,163.84,32412.83,29954.1,2458.73,Debit Card,Cancelled,2026-06-10,2026-06-19,3.3
ORD-1000010,CUST-15699,Aarav Anderson,Male,37.0,Regular,United Kingdom,England,Liverpool,Sports,Outdoor,Yoga Mat,15727.72,1,5.0,786.39,48.44,14989.77,11332.19,3657.58,Debit Card,Delivered,2023-06-10,2023-06-15,3.3
ORD-1000011,CUST-17996,Noah Singh,Female,66.0,Regular,India,West Bengal,Kolkata,Fashion,Women,Handbag,7906.4,4,10.0,3162.56,130.21,28593.25,23580.61,5012.64,Cash on Delivery,Cancelled,2023-10-11,2023-10-17,4.3
ORD-1000012,CUST-11816,Kavya Thomas,Female,20.0,Premium,Australia,,Sydney,Books,Fiction,Business Book,2823.52,2,15.0,847.06,183.53,4983.51,4854.44,129.07,Credit Card,Delivered,2023-05-08,2023-05-13,4.8
ORD-1000013,CUST-14780,Ava Sharma,Male,63.0,VIP,United Kingdom,England,,Electronics,Wearable,Bluetooth Speaker,51150.52,1,,2557.53,253.6,48846.59,45049.99,3796.6,Cash on Delivery,Delivered,2025-04-07,2025-04-15,5.0
ORD-1000014,CUST-24599,Neha Wilson,Female,21.0,New,India,Delhi,Delhi,Electronics,Audio,Bluetooth Speaker,45222.87,1,15.0,6783.43,86.96,38526.4,38081.06,445.34,Cash on Delivery,Delivered,2025-09-19,2025-09-26,3.4
ORD-1000015,CUST-11931,Aarav Smith,Female,64.0,Regular,India,Delhi,,Home & Kitchen,Home Decor,Storage Box,14487.09,1,0.0,0.0,149.56,14636.65,12025.76,2610.89,Wallet,Delivered,2023-04-27,2023-05-01,3.4
ORD-1000016,CUST-19435,Rohan Thomas,Male,63.0,New,India,Telangana,Hyderabad,Fashion,Footwear,Dress,5357.38,3,0.0,0.0,37.15,16109.29,12149.98,3959.31,Net Banking,Delivered,2026-08-01,2026-08-06,4.0
ORD-1000017,CUST-26364,Arjun Mehta,Female,19.0,Regular,India,Maharashtra,Mumbai,Home & Kitchen,Home Decor,Bedsheet,1374.27,4,5.0,274.85,54.72,5276.95,3852.31,1424.64,Debit Card,Delivered,2024-03-17,2024-03-28,4.1
ORD-1000018,CUST-19817,Vivaan Singh,Male,21.0,Premium,United States,Illinois,Chicago,Sports,Fitness,Cricket Bat,9184.79,1,30.0,2755.44,215.95,6645.3,6737.5,-92.2,Credit Card,Delivered,2025-08-27,2025-09-03,
ORD-1000019,CUST-22043,Sophia Das,Female,42.0,Regular,United Kingdom,England,London,Home & Kitchen,Furniture,Bedsheet,11313.21,3,0.0,0.0,290.69,34230.32,26030.57,8199.75,Wallet,Cancelled,2023-04-06,2023-04-14,3.8
ORD-1000020,CUST-15486,Noah Gupta,Male,29.0,Regular,India,Gujarat,Ahmedabad,Fashion,Footwear,Dress,1019.01,4,25.0,1019.01,147.44,3204.47,3573.78,-369.31,Debit Card,Delivered,2025-04-30,2025-05-04,5.0
ORD-1000021,CUST-31925,William Mehta,Male,18.0,New,Australia,New South Wales,Sydney,Beauty,Skincare,Makeup Kit,1338.21,2,0.0,0.0,278.32,2954.74,2400.1,554.64,UPI,Cancelled,2024-09-25,2024-10-02,
ORD-1000022,CUST-19435,Ava Wilson,Female,58.0,VIP,Australia,Western Australia,Perth,Fashion,Footwear,Shoes,3962.79,2,5.0,396.28,199.3,7728.6,6176.07,1552.53,Debit Card,Delivered,2025-01-23,2025-01-26,
ORD-1000023,CUST-25761,Liam Brown,,32.0,Premium,India,Gujarat,Ahmedabad,Home & Kitchen,Kitchen,Bedsheet,17429.51,2,5.0,1742.95,148.12,33264.19,24209.87,9054.32,Net Banking,Delivered,2026-05-21,2026-05-26,4.0
ORD-1000024,CUST-17483,James Wilson,Male,58.0,Regular,India,West Bengal,Kolkata,Electronics,Computer,Smartwatch,95747.0,2,15.0,28724.1,61.22,162831.12,152247.16,10583.96,Debit Card,Delivered,2024-11-28,2024-12-01,2.5
ORD-1000025,CUST-18415,Liam Sharma,Male,43.0,Regular,United Kingdom,England,Liverpool,Fashion,Women,Dress,1120.76,1,15.0,168.11,275.37,1228.02,943.51,284.51,Wallet,Delivered,2023-01-10,2023-01-19,3.6
ORD-1000026,CUST-23456,Olivia Brown,Male,68.0,Regular,United States,New York,New York,Home & Kitchen,Home Decor,Office Chair,4876.36,3,20.0,2925.82,356.14,12059.4,13123.34,-1063.94,Cash on Delivery,Delivered,2023-03-24,2023-03-31,4.8
ORD-1000027,CUST-31103,Liam Das,Female,38.0,Premium,India,Gujarat,Ahmedabad,Electronics,Computer,Laptop,48458.31,1,20.0,9691.66,227.9,38994.55,39061.21,-66.66,Debit Card,Delivered,2025-09-16,2025-09-20,4.8
ORD-1000028,CUST-14854,Kavya Singh,Female,46.0,Regular,India,Maharashtra,Pune,Grocery,Beverages,Cooking Oil,2218.84,1,20.0,443.77,0.0,1775.07,1939.0,-163.93,UPI,Delivered,2024-06-25,2024-07-03,3.8
ORD-1000029,CUST-28271,Aditya Johnson,Female,67.0,Premium,Australia,New South Wales,Sydney,Fashion,Footwear,Handbag,4637.0,2,10.0,927.4,133.47,8480.07,7287.07,1193.0,Debit Card,Delivered,2025-06-18,2025-06-23,3.2
ORD-1000030,CUST-20488,Liam Brown,Female,47.0,Regular,India,Maharashtra,Pune,Fashion,Men,Handbag,4674.56,1,25.0,1168.64,93.77,3599.69,3470.89,128.8,,Delivered,2025-03-04,2025-03-07,4.1
ORD-1000031,CUST-18172,James Smith,Male,,Regular,United States,California,Los Angeles,Beauty,Cosmetics,Sunscreen,8724.46,1,0.0,0.0,252.49,8976.95,7395.61,1581.34,UPI,Delivered,2025-07-07,2025-07-20,4.9
ORD-1000032,CUST-30590,Vivaan Thomas,Female,66.0,Premium,India,West Bengal,Kolkata,Fashion,Women,Handbag,4166.77,1,10.0,416.68,214.02,3964.11,3466.94,497.17,Credit Card,Delivered,2023-08-16,2023-08-18,5.0
ORD-1000033,CUST-34579,Liam Reddy,Female,47.0,Regular,United States,Illinois,Chicago,Grocery,Food,Dry Fruits,,1,5.0,41.24,158.32,941.79,832.92,108.87,Debit Card,Delivered,2025-04-22,2025-04-29,4.7
ORD-1000034,CUST-22941,Saurabh Gupta,Female,53.0,Regular,United Kingdom,England,Birmingham,Sports,Fitness,Yoga Mat,10879.63,1,10.0,1087.96,136.07,9927.74,9328.65,599.09,Debit Card,Delivered,2023-03-31,2023-04-07,3.3
ORD-1000035,CUST-29019,Aditya Singh,Female,39.0,Regular,India,Maharashtra,Pune,Electronics,Wearable,Laptop,26137.44,3,15.0,11761.85,93.08,66743.55,64517.75,2225.8,Net Banking,Delivered,2026-01-23,2026-01-28,4.1
ORD-1000036,CUST-16943,William Taylor,Male,40.0,Regular,United Kingdom,England,Manchester,Books,Fiction,Biography,634.36,2,30.0,380.62,307.42,1195.52,1291.95,-96.43,UPI,Delivered,2026-08-11,,3.8
ORD-1000037,CUST-10419,Saurabh Brown,Male,54.0,VIP,United States,Illinois,Chicago,Home & Kitchen,Kitchen,Storage Box,7021.86,2,0.0,0.0,307.62,14351.34,10545.49,3805.85,UPI,Delivered,2026-08-05,2026-08-13,4.1
ORD-1000038,CUST-24382,Arjun Wilson,Female,,Premium,United States,California,Los Angeles,Home & Kitchen,Furniture,Cookware Set,2293.18,1,10.0,229.32,253.86,2317.72,1912.69,405.03,Debit Card,Delivered,2026-03-26,2026-04-07,4.6
ORD-1000039,CUST-10827,Aisha Wilson,Male,65.0,,Canada,British Columbia,Vancouver,Grocery,Beverages,Breakfast Cereal,1411.22,4,0.0,0.0,359.73,6004.61,5215.31,789.3,Net Banking,Delivered,2025-08-15,2025-08-21,3.6
ORD-1000040,CUST-29414,,Male,68.0,Premium,India,Maharashtra,Pune,Fashion,Women,T-Shirt,882.73,3,30.0,794.46,96.95,1950.68,2259.3,-308.62,Net Banking,Delivered,2024-02-24,2024-02-28,3.4
ORD-1000041,CUST-23490,Rahul Kumar,Male,41.0,Regular,United Kingdom,England,Manchester,Fashion,Men,Shoes,7933.26,2,10.0,1586.65,296.25,14576.12,10669.03,3907.09,Net Banking,Delivered,2024-10-01,2024-10-07,
ORD-1000042,CUST-19181,William Johnson,Female,49.0,Premium,United States,Texas,Houston,Electronics,Audio,Smartphone,91493.96,2,25.0,45746.98,156.23,137397.17,156230.26,-18833.09,UPI,Delivered,2026-03-10,2026-03-17,5.0
ORD-1000043,CUST-20093,Vivaan Wilson,Female,45.0,New,India,Tamil Nadu,Chennai,Beauty,Haircare,Perfume,7450.83,2,20.0,2980.33,42.5,11963.83,10797.17,1166.66,Net Banking,Delivered,2026-07-11,2026-07-13,3.4
ORD-1000044,CUST-31591,Olivia Mehta,Female,33.0,,United States,Illinois,Chicago,Fashion,Footwear,Jacket,491.37,3,0.0,0.0,164.45,1638.56,1294.56,344.0,Net Banking,Delivered,2023-04-06,2023-04-14,2.6
