Student_ID,Student_Name,Study_Hours,Math,Science,English,Total_Marks,Average_Marks,Result
101,Aarav,2,65,70,72,207,69.0,Pass
102,Priya,4,82,85,80,247,82.33,Pass
103,Rohan,3,74,68,76,218,72.67,Pass
104,Sneha,5,91,94,92,277,92.33,Pass
105,Aditya,1,55,60,58,173,57.67,Pass
106,Neha,6,88,91,86,265,88.33,Pass
107,Rahul,4,79,77,81,237,79.0,Pass
108,Pooja,7,95,96,93,284,94.67,Pass
109,Vivek,2,61,64,66,191,63.67,Pass
110,Anjali,5,86,89,88,263,87.67,Pass
111,Karan,3,72,75,70,217,72.33,Pass
112,Isha,6,90,87,91,268,89.33,Pass
113,Sahil,8,98,97,96,291,97.0,Pass
114,Meera,4,81,83,85,249,83.0,Pass
115,Akash,2,58,62,60,180,60.0,Pass
